Fips,County,Topic,Year,Count,Crude Rate,State Count,State Crude Rate
55001,Adams,Emergency Department Visits,2002,82,40.3,25844,47.45
55001,Adams,Emergency Department Visits,2003,93,45.84,27025,49.34
55001,Adams,Emergency Department Visits,2004,70,34.47,24992,45.35
55001,Adams,Emergency Department Visits,2005,57,27.6,25532,46.07
55001,Adams,Emergency Department Visits,2006,53,25.8,23791,42.7
55001,Adams,Emergency Department Visits,2007,63,30.84,24155,43.12
55001,Adams,Emergency Department Visits,2008,55,27.11,24359,43.28
55001,Adams,Emergency Department Visits,2009,66,32.86,25168,44.51
55001,Adams,Emergency Department Visits,2010,61,29.24,22228,39.07
55001,Adams,Emergency Department Visits,2011,67,32.05,19549,34.24
55001,Adams,Emergency Department Visits,2012,67,32.64,20315,35.49
55001,Adams,Emergency Department Visits,2013,68,33.16,18640,32.46
55001,Adams,Emergency Department Visits,2014,52,25.72,21382,37.14
55001,Adams,Emergency Department Visits,2015,83,41.43,23843,41.4
55001,Adams,Emergency Department Visits,2016,62,31.02,20621,35.71
55001,Adams,Emergency Department Visits,2017,49,24.62,20348,35.12
55001,Adams,Emergency Department Visits,2018,60,29.43,19635,33.8
55001,Adams,Emergency Department Visits,2019,56,27.63,18986,32.6
55001,Adams,Emergency Department Visits,2020,53,25.63,12504,21.21
55001,Adams,Emergency Department Visits,2021,62,29.75,14703,25.01
55001,Adams,Emergency Department Visits,2022,51,24,15224,25.84
55001,Adams,Emergency Department Visits,2023,76,35.43,16690,28.24
55003,Ashland,Emergency Department Visits,2002,96,57.17,25844,47.45
55003,Ashland,Emergency Department Visits,2003,104,62.34,27025,49.34
55003,Ashland,Emergency Department Visits,2004,104,62.71,24992,45.35
55003,Ashland,Emergency Department Visits,2005,76,46.21,25532,46.07
55003,Ashland,Emergency Department Visits,2006,58,35.26,23791,42.7
55003,Ashland,Emergency Department Visits,2007,71,43.71,24155,43.12
55003,Ashland,Emergency Department Visits,2008,69,42.55,24359,43.28
55003,Ashland,Emergency Department Visits,2009,53,32.75,25168,44.51
55003,Ashland,Emergency Department Visits,2010,30,18.56,22228,39.07
55003,Ashland,Emergency Department Visits,2011,32,19.9,19549,34.24
55003,Ashland,Emergency Department Visits,2012,46,28.92,20315,35.49
55003,Ashland,Emergency Department Visits,2013,45,28.01,18640,32.46
55003,Ashland,Emergency Department Visits,2014,46,28.57,21382,37.14
55003,Ashland,Emergency Department Visits,2015,44,27.84,23843,41.4
55003,Ashland,Emergency Department Visits,2016,36,23.02,20621,35.71
55003,Ashland,Emergency Department Visits,2017,52,33.53,20348,35.12
55003,Ashland,Emergency Department Visits,2018,66,42.44,19635,33.8
55003,Ashland,Emergency Department Visits,2019,55,35.47,18986,32.6
55003,Ashland,Emergency Department Visits,2020,40,24.97,12504,21.21
55003,Ashland,Emergency Department Visits,2021,49,30.53,14703,25.01
55003,Ashland,Emergency Department Visits,2022,42,26.18,15224,25.84
55003,Ashland,Emergency Department Visits,2023,51,31.72,16690,28.24
55005,Barron,Emergency Department Visits,2002,98,21.57,25844,47.45
55005,Barron,Emergency Department Visits,2003,154,33.89,27025,49.34
55005,Barron,Emergency Department Visits,2004,143,31.35,24992,45.35
55005,Barron,Emergency Department Visits,2005,136,29.85,25532,46.07
55005,Barron,Emergency Department Visits,2006,145,31.74,23791,42.7
55005,Barron,Emergency Department Visits,2007,168,36.87,24155,43.12
55005,Barron,Emergency Department Visits,2008,148,32.42,24359,43.28
55005,Barron,Emergency Department Visits,2009,166,36.41,25168,44.51
55005,Barron,Emergency Department Visits,2010,139,30.32,22228,39.07
55005,Barron,Emergency Department Visits,2011,143,31.15,19549,34.24
55005,Barron,Emergency Department Visits,2012,132,28.84,20315,35.49
55005,Barron,Emergency Department Visits,2013,144,31.58,18640,32.46
55005,Barron,Emergency Department Visits,2014,172,37.84,21382,37.14
55005,Barron,Emergency Department Visits,2015,147,32.4,23843,41.4
55005,Barron,Emergency Department Visits,2016,119,26.29,20621,35.71
