FIPS,COUNTY,TOPIC,YEAR,COUNT,CRUDERATE,ST_COUNT,ST_CRUDERATE
55001,Adams,Emergency Department Visits,2002,139,90.53,16086,45.51
55001,Adams,Emergency Department Visits,2003,93,60.32,16118,45.23
55001,Adams,Emergency Department Visits,2004,63,40.5,15446,42.95
55001,Adams,Emergency Department Visits,2005,118,73.7,17393,47.9
55001,Adams,Emergency Department Visits,2006,102,63.37,16394,44.74
55001,Adams,Emergency Department Visits,2007,96,59.61,17891,48.31
55001,Adams,Emergency Department Visits,2008,100,61.92,20578,55.03
55001,Adams,Emergency Department Visits,2009,101,62.53,19761,52.37
55001,Adams,Emergency Department Visits,2010,112,68.88,20144,52.96
55001,Adams,Emergency Department Visits,2011,114,70.16,21217,55.46
55001,Adams,Emergency Department Visits,2012,113,70.3,20725,53.9
55001,Adams,Emergency Department Visits,2013,114,70.8,20150,52.13
55001,Adams,Emergency Department Visits,2014,147,92.2,21484,55.3
55001,Adams,Emergency Department Visits,2015,185,116.34,23367,59.88
55001,Adams,Emergency Department Visits,2016,135,84.99,26449,67.4
55001,Adams,Emergency Department Visits,2017,160,100.17,29448,74.49
55001,Adams,Emergency Department Visits,2018,194,118.78,26936,67.65
55001,Adams,Emergency Department Visits,2019,234,143.46,26987,67.31
55001,Adams,Emergency Department Visits,2020,179,107.44,17203,42.44
55001,Adams,Emergency Department Visits,2021,169,100.43,17867,43.95
55001,Adams,Emergency Department Visits,2022,181,104.84,19464,47.69
55003,Ashland,Emergency Department Visits,2002,50,46.94,16086,45.51
55003,Ashland,Emergency Department Visits,2003,50,46.81,16118,45.23
55003,Ashland,Emergency Department Visits,2004,54,50.4,15446,42.95
55003,Ashland,Emergency Department Visits,2005,57,53.18,17393,47.9
55003,Ashland,Emergency Department Visits,2006,47,43.77,16394,44.74
55003,Ashland,Emergency Department Visits,2007,40,37.44,17891,48.31
55003,Ashland,Emergency Department Visits,2008,61,56.84,20578,55.03
55003,Ashland,Emergency Department Visits,2009,39,36.23,19761,52.37
55003,Ashland,Emergency Department Visits,2010,54,50.04,20144,52.96
55003,Ashland,Emergency Department Visits,2011,60,55.73,21217,55.46
55003,Ashland,Emergency Department Visits,2012,63,58.74,20725,53.9
55003,Ashland,Emergency Department Visits,2013,60,55.8,20150,52.13
55003,Ashland,Emergency Department Visits,2014,74,68.69,21484,55.3
55003,Ashland,Emergency Department Visits,2015,94,87.35,23367,59.88
55003,Ashland,Emergency Department Visits,2016,122,114.04,26449,67.4
55003,Ashland,Emergency Department Visits,2017,122,114.59,29448,74.49
55003,Ashland,Emergency Department Visits,2018,122,114.39,26936,67.65
55003,Ashland,Emergency Department Visits,2019,127,118.7,26987,67.31
55003,Ashland,Emergency Department Visits,2020,85,76.89,17203,42.44
55003,Ashland,Emergency Department Visits,2021,122,109.85,17867,43.95
55003,Ashland,Emergency Department Visits,2022,146,130.39,19464,47.69
55005,Barron,Emergency Department Visits,2002,114,37.3,16086,45.51
55005,Barron,Emergency Department Visits,2003,144,46.89,16118,45.23
55005,Barron,Emergency Department Visits,2004,154,49.77,15446,42.95
55005,Barron,Emergency Department Visits,2005,181,57.87,17393,47.9
55005,Barron,Emergency Department Visits,2006,204,64.73,16394,44.74
55005,Barron,Emergency Department Visits,2007,235,74.03,17891,48.31
55005,Barron,Emergency Department Visits,2008,264,82.58,20578,55.03
55005,Barron,Emergency Department Visits,2009,269,83.78,19761,52.37
55005,Barron,Emergency Department Visits,2010,280,86.66,20144,52.96
55005,Barron,Emergency Department Visits,2011,278,85.75,21217,55.46
55005,Barron,Emergency Department Visits,2012,318,98.09,20725,53.9
55005,Barron,Emergency Department Visits,2013,267,82.55,20150,52.13
55005,Barron,Emergency Department Visits,2014,287,89.32,21484,55.3
55005,Barron,Emergency Department Visits,2015,340,105.78,23367,59.88
55005,Barron,Emergency Department Visits,2016,328,102.26,26449,67.4
55005,Barron,Emergency Department Visits,2017,363,112.86,29448,74.49
55005,Barron,Emergency Department Visits,2018,352,109.41,26936,67.65
55005,Barron,Emergency Department Visits,2019,353,109.09,26987,67.31
55005,Barron,Emergency Department Visits,2020,258,77.06,17203,42.44
55005,Barron,Emergency Department Visits,2021,277,82.51,17867,43.95
55005,Barron,Emergency Department Visits,2022,325,96.12,19464,47.69
55007,Bayfield,Emergency Department Visits,2002,42,38.88,16086,45.51
55007,Bayfield,Emergency Department Visits,2003,46,42.19,16118,45.23
55007,Bayfield,Emergency Department Visits,2004,29,26.33,15446,42.95
55007,Bayfield,Emergency Department Visits,2005,46,41.56,17393,47.9
55007,Bayfield,Emergency Department Visits,2006,41,36.68,16394,44.74
55007,Bayfield,Emergency Department Visits,2007,36,31.73,17891,48.31
55007,Bayfield,Emergency Department Visits,2008,53,46.45,20578,55.03
55007,Bayfield,Emergency Department Visits,2009,65,57.14,19761,52.37
55007,Bayfield,Emergency Department Visits,2010,45,39.49,20144,52.96
55007,Bayfield,Emergency Department Visits,2011,51,44.63,21217,55.46
55007,Bayfield,Emergency Department Visits,2012,41,35.9,20725,53.9
55007,Bayfield,Emergency Department Visits,2013,25,21.82,20150,52.13
55007,Bayfield,Emergency Department Visits,2014,60,52.64,21484,55.3
55007,Bayfield,Emergency Department Visits,2015,61,53.58,23367,59.88
55007,Bayfield,Emergency Department Visits,2016,92,80.8,26449,67.4
55007,Bayfield,Emergency Department Visits,2017,71,61.85,29448,74.49
55007,Bayfield,Emergency Department Visits,2018,88,75.93,26936,67.65
55007,Bayfield,Emergency Department Visits,2019,79,67.5,26987,67.31
55007,Bayfield,Emergency Department Visits,2020,61,48.86,17203,42.44
55007,Bayfield,Emergency Department Visits,2021,68,53.79,17867,43.95
55007,Bayfield,Emergency Department Visits,2022,89,68.86,19464,47.69
55009,Brown,Emergency Department Visits,2002,954,64.7,16086,45.51
55009,Brown,Emergency Department Visits,2003,1009,67.71,16118,45.23
55009,Brown,Emergency Department Visits,2004,896,59.36,15446,42.95
55009,Brown,Emergency Department Visits,2005,726,47.51,17393,47.9
55009,Brown,Emergency Department Visits,2006,704,45.62,16394,44.74
55009,Brown,Emergency Department Visits,2007,802,51.3,17891,48.31
55009,Brown,Emergency Department Visits,2008,851,53.84,20578,55.03
55009,Brown,Emergency Department Visits,2009,912,57.01,19761,52.37
55009,Brown,Emergency Department Visits,2010,1130,69.66,20144,52.96
55009,Brown,Emergency Department Visits,2011,1216,74.12,21217,55.46
55009,Brown,Emergency Department Visits,2012,1160,69.84,20725,53.9
55009,Brown,Emergency Department Visits,2013,1032,61.55,20150,52.13
55009,Brown,Emergency Department Visits,2014,1120,66.04,21484,55.3
55009,Brown,Emergency Department Visits,2015,1092,63.82,23367,59.88
55009,Brown,Emergency Department Visits,2016,1132,65.52,26449,67.4
55009,Brown,Emergency Department Visits,2017,1199,68.65,29448,74.49
55009,Brown,Emergency Department Visits,2018,991,56.21,26936,67.65
55009,Brown,Emergency Department Visits,2019,943,53.09,26987,67.31
55009,Brown,Emergency Department Visits,2020,643,35.59,17203,42.44
55009,Brown,Emergency Department Visits,2021,642,35.33,17867,43.95
55009,Brown,Emergency Department Visits,2022,792,43.27,19464,47.69
55011,Buffalo,Emergency Department Visits,2002,27,28.67,16086,45.51
55011,Buffalo,Emergency Department Visits,2003,27,28.55,16118,45.23
55011,Buffalo,Emergency Department Visits,2004,26,27.48,15446,42.95
55011,Buffalo,Emergency Department Visits,2005,50,52.05,17393,47.9
55011,Buffalo,Emergency Department Visits,2006,45,46.89,16394,44.74
55011,Buffalo,Emergency Department Visits,2007,43,44.55,17891,48.31
55011,Buffalo,Emergency Department Visits,2008,34,35.28,20578,55.03
55011,Buffalo,Emergency Department Visits,2009,39,40.61,19761,52.37
55011,Buffalo,Emergency Department Visits,2010,60,62.43,20144,52.96
55011,Buffalo,Emergency Department Visits,2011,42,44.02,21217,55.46
55011,Buffalo,Emergency Department Visits,2012,57,59.67,20725,53.9
55011,Buffalo,Emergency Department Visits,2013,48,50.2,20150,52.13
55011,Buffalo,Emergency Department Visits,2014,43,45.31,21484,55.3
55011,Buffalo,Emergency Department Visits,2015,69,72.74,23367,59.88
55011,Buffalo,Emergency Department Visits,2016,77,81.61,26449,67.4
55011,Buffalo,Emergency Department Visits,2017,85,89.91,29448,74.49
55011,Buffalo,Emergency Department Visits,2018,68,71.75,26936,67.65
55011,Buffalo,Emergency Department Visits,2019,65,68.78,26987,67.31
55011,Buffalo,Emergency Department Visits,2020,54,55.65,17203,42.44
55011,Buffalo,Emergency Department Visits,2021,34,35.01,17867,43.95
55011,Buffalo,Emergency Department Visits,2022,36,36.66,19464,47.69
55013,Burnett,Emergency Department Visits,2002,81,70.65,16086,45.51
55013,Burnett,Emergency Department Visits,2003,74,63.73,16118,45.23
55013,Burnett,Emergency Department Visits,2004,64,54.68,15446,42.95
55013,Burnett,Emergency Department Visits,2005,80,68.05,17393,47.9
55013,Burnett,Emergency Department Visits,2006,74,62.86,16394,44.74
55013,Burnett,Emergency Department Visits,2007,96,81.76,17891,48.31
55013,Burnett,Emergency Department Visits,2008,155,133.26,20578,55.03
55013,Burnett,Emergency Department Visits,2009,100,86.35,19761,52.37
55013,Burnett,Emergency Department Visits,2010,103,89.26,20144,52.96
55013,Burnett,Emergency Department Visits,2011,119,102.78,21217,55.46
55013,Burnett,Emergency Department Visits,2012,125,108.38,20725,53.9
55013,Burnett,Emergency Department Visits,2013,95,82.57,20150,52.13
55013,Burnett,Emergency Department Visits,2014,101,87.57,21484,55.3
55013,Burnett,Emergency Department Visits,2015,90,78.25,23367,59.88
55013,Burnett,Emergency Department Visits,2016,109,94.1,26449,67.4
55013,Burnett,Emergency Department Visits,2017,147,125.72,29448,74.49
55013,Burnett,Emergency Department Visits,2018,151,128.47,26936,67.65
55013,Burnett,Emergency Department Visits,2019,144,121.55,26987,67.31
55013,Burnett,Emergency Department Visits,2020,94,73.16,17203,42.44
55013,Burnett,Emergency Department Visits,2021,116,88.19,17867,43.95
55013,Burnett,Emergency Department Visits,2022,151,112.53,19464,47.69
55015,Calumet,Emergency Department Visits,2002,51,18.29,16086,45.51
55015,Calumet,Emergency Department Visits,2003,56,19.44,16118,45.23
55015,Calumet,Emergency Department Visits,2004,55,18.7,15446,42.95
55015,Calumet,Emergency Department Visits,2005,71,23.61,17393,47.9
55015,Calumet,Emergency Department Visits,2006,35,11.39,16394,44.74
55015,Calumet,Emergency Department Visits,2007,52,16.67,17891,48.31
55015,Calumet,Emergency Department Visits,2008,57,18.01,20578,55.03
55015,Calumet,Emergency Department Visits,2009,82,25.48,19761,52.37
55015,Calumet,Emergency Department Visits,2010,69,21.14,20144,52.96
55015,Calumet,Emergency Department Visits,2011,87,26.37,21217,55.46
55015,Calumet,Emergency Department Visits,2012,84,25.4,20725,53.9
55015,Calumet,Emergency Department Visits,2013,70,21.1,20150,52.13
55015,Calumet,Emergency Department Visits,2014,68,20.48,21484,55.3
55015,Calumet,Emergency Department Visits,2015,66,19.73,23367,59.88
55015,Calumet,Emergency Department Visits,2016,66,19.69,26449,67.4
55015,Calumet,Emergency Department Visits,2017,103,30.22,29448,74.49
55015,Calumet,Emergency Department Visits,2018,126,36.61,26936,67.65
55015,Calumet,Emergency Department Visits,2019,136,39.18,26987,67.31
55015,Calumet,Emergency Department Visits,2020,79,21.71,17203,42.44
55015,Calumet,Emergency Department Visits,2021,70,19.08,17867,43.95
55015,Calumet,Emergency Department Visits,2022,87,23.51,19464,47.69
55017,Chippewa,Emergency Department Visits,2002,177,47.52,16086,45.51
55017,Chippewa,Emergency Department Visits,2003,141,37.11,16118,45.23
55017,Chippewa,Emergency Department Visits,2004,100,25.32,15446,42.95
55017,Chippewa,Emergency Department Visits,2005,152,37.69,17393,47.9
55017,Chippewa,Emergency Department Visits,2006,148,36.23,16394,44.74
55017,Chippewa,Emergency Department Visits,2007,144,34.6,17891,48.31
55017,Chippewa,Emergency Department Visits,2008,158,37.47,20578,55.03
55017,Chippewa,Emergency Department Visits,2009,156,36.54,19761,52.37
55017,Chippewa,Emergency Department Visits,2010,210,48.62,20144,52.96
55017,Chippewa,Emergency Department Visits,2011,282,64.65,21217,55.46
55017,Chippewa,Emergency Department Visits,2012,242,55.19,20725,53.9
55017,Chippewa,Emergency Department Visits,2013,270,61.38,20150,52.13
55017,Chippewa,Emergency Department Visits,2014,262,59.13,21484,55.3
55017,Chippewa,Emergency Department Visits,2015,246,55.39,23367,59.88
55017,Chippewa,Emergency Department Visits,2016,350,78.41,26449,67.4
55017,Chippewa,Emergency Department Visits,2017,515,114.53,29448,74.49
55017,Chippewa,Emergency Department Visits,2018,396,87.23,26936,67.65
55017,Chippewa,Emergency Department Visits,2019,348,75.83,26987,67.31
55017,Chippewa,Emergency Department Visits,2020,214,45.46,17203,42.44
55017,Chippewa,Emergency Department Visits,2021,206,43.52,17867,43.95
55017,Chippewa,Emergency Department Visits,2022,261,54.79,19464,47.69
55019,Clark,Emergency Department Visits,2002,112,52.91,16086,45.51
55019,Clark,Emergency Department Visits,2003,85,39.92,16118,45.23
55019,Clark,Emergency Department Visits,2004,109,50.91,15446,42.95
55019,Clark,Emergency Department Visits,2005,144,67.06,17393,47.9
55019,Clark,Emergency Department Visits,2006,148,68.66,16394,44.74
55019,Clark,Emergency Department Visits,2007,170,78.42,17891,48.31
55019,Clark,Emergency Department Visits,2008,200,91.8,20578,55.03
55019,Clark,Emergency Department Visits,2009,161,73.83,19761,52.37
55019,Clark,Emergency Department Visits,2010,161,73.46,20144,52.96
55019,Clark,Emergency Department Visits,2011,183,83.62,21217,55.46
55019,Clark,Emergency Department Visits,2012,182,83.99,20725,53.9
55019,Clark,Emergency Department Visits,2013,176,81.03,20150,52.13
55019,Clark,Emergency Department Visits,2014,147,67.91,21484,55.3
55019,Clark,Emergency Department Visits,2015,129,59.65,23367,59.88
55019,Clark,Emergency Department Visits,2016,165,76.16,26449,67.4
55019,Clark,Emergency Department Visits,2017,144,66.57,29448,74.49
55019,Clark,Emergency Department Visits,2018,155,71.55,26936,67.65
55019,Clark,Emergency Department Visits,2019,223,103.05,26987,67.31
55019,Clark,Emergency Department Visits,2020,134,62.46,17203,42.44
55019,Clark,Emergency Department Visits,2021,133,61.87,17867,43.95
55019,Clark,Emergency Department Visits,2022,173,80.14,19464,47.69
55021,Columbia,Emergency Department Visits,2002,141,38.71,16086,45.51
55021,Columbia,Emergency Department Visits,2003,173,46.86,16118,45.23
55021,Columbia,Emergency Department Visits,2004,209,55.71,15446,42.95
55021,Columbia,Emergency Department Visits,2005,206,54.48,17393,47.9
55021,Columbia,Emergency Department Visits,2006,212,55.38,16394,44.74
55021,Columbia,Emergency Department Visits,2007,204,52.68,17891,48.31
55021,Columbia,Emergency Department Visits,2008,243,62.39,20578,55.03
55021,Columbia,Emergency Department Visits,2009,217,55.28,19761,52.37
55021,Columbia,Emergency Department Visits,2010,233,58.63,20144,52.96
55021,Columbia,Emergency Department Visits,2011,200,50.3,21217,55.46
55021,Columbia,Emergency Department Visits,2012,180,45.41,20725,53.9
55021,Columbia,Emergency Department Visits,2013,191,48.1,20150,52.13
55021,Columbia,Emergency Department Visits,2014,235,58.98,21484,55.3
55021,Columbia,Emergency Department Visits,2015,253,63.39,23367,59.88
55021,Columbia,Emergency Department Visits,2016,288,71.68,26449,67.4
55021,Columbia,Emergency Department Visits,2017,339,83.47,29448,74.49
55021,Columbia,Emergency Department Visits,2018,247,60.51,26936,67.65
55021,Columbia,Emergency Department Visits,2019,268,65.01,26987,67.31
55021,Columbia,Emergency Department Visits,2020,188,44.93,17203,42.44
55021,Columbia,Emergency Department Visits,2021,169,40.26,17867,43.95
55021,Columbia,Emergency Department Visits,2022,213,50.72,19464,47.69
55023,Crawford,Emergency Department Visits,2002,22,19.34,16086,45.51
55023,Crawford,Emergency Department Visits,2003,30,26.36,16118,45.23
55023,Crawford,Emergency Department Visits,2004,21,18.23,15446,42.95
55023,Crawford,Emergency Department Visits,2005,33,28.58,17393,47.9
55023,Crawford,Emergency Department Visits,2006,40,34.33,16394,44.74
55023,Crawford,Emergency Department Visits,2007,48,40.76,17891,48.31
55023,Crawford,Emergency Department Visits,2008,57,48.29,20578,55.03
55023,Crawford,Emergency Department Visits,2009,50,42.26,19761,52.37
55023,Crawford,Emergency Department Visits,2010,52,44.02,20144,52.96
55023,Crawford,Emergency Department Visits,2011,62,52.18,21217,55.46
55023,Crawford,Emergency Department Visits,2012,74,62.61,20725,53.9
55023,Crawford,Emergency Department Visits,2013,68,58.15,20150,52.13
