OBJECTID,shortest_dist
1,1653.99
2,1654.84
3,1656.64
4,1309.26
5,1247.72
6,1649.5
7,1284.18
8,1270.81
9,867.58
10,738.68
11,738.71
12,723.22
13,724.25
14,1070.16
15,1276.43
16,1066.9
17,1094.79
18,1097.45
19,1092.33
20,1093.84
21,1299.18
22,1065.72
23,1248.52
24,1068.0
25,1089.76
26,1048.24
27,1238.12
28,1073.82
29,1092.64
30,1071.45
31,1061.44
32,1067.64
33,1267.17
34,1065.42
35,2720.81
36,724.49
37,757.96
38,731.81
39,756.63
40,730.52
41,756.45
42,1237.66
43,757.49
44,1667.56
45,1066.32
46,1073.26
47,703.56
48,1454.95
49,711.74
50,717.15
51,1066.12
52,1070.07
53,1250.15
54,1657.05
55,1060.28
56,1656.0
57,1271.92
58,1709.43
59,1656.8
60,1646.07
61,730.95
62,1069.95
63,1255.51
64,1074.1
65,1593.59
66,1712.11
67,1304.22
68,1632.45
69,878.75
70,1710.53
71,1245.11
72,1659.57
73,1612.25
74,1345.83
75,1606.79
76,2720.32
77,1610.07
78,1639.99
79,1613.75
80,1656.04
81,1642.77
82,1610.22
83,1615.09
84,1654.21
85,1644.04
86,1358.36
87,1609.21
88,1600.78
89,1599.84
90,1581.38
91,1776.35
92,1614.33
93,1635.33
94,2725.99
95,1607.86
96,1640.9
97,715.33
98,1613.04
99,1626.19
100,1318.29
101,1703.82
102,1640.71
103,1318.63
104,1633.52
105,1643.14
106,1617.32
107,1325.23
108,1623.66
109,1612.63
110,1324.66
111,1043.87
112,1608.16
113,1606.54
114,1655.36
115,1028.3
116,1037.73
117,1605.36
118,1028.64
119,1031.74
120,1275.2
121,1635.69
122,1647.65
123,1431.78
124,1700.27
125,1642.21
126,1456.88
127,1039.77
128,896.44
129,1649.61
130,1656.31
131,1655.8
132,1643.77
133,1633.85
134,1523.82
135,1604.32
136,1035.07
137,1621.91
138,1615.74
139,1650.2
140,1537.2
141,1655.33
142,1606.06
143,1603.77
144,710.08
145,1634.23
146,1645.52
147,1047.16
148,1036.91
149,1654.7
150,1761.78
151,1609.17
152,1054.85
153,1650.14
154,1649.39
155,1604.31
156,1610.56
157,1749.96
158,1023.78
159,1029.52
160,1030.49
161,1032.76
162,1029.78
163,1045.47
164,1053.79
165,1049.52
166,1350.62
167,1634.96
168,1384.87
169,1207.55
170,1494.88
171,1240.96
172,1179.98
173,1351.42
174,1365.1
175,1497.3
176,1422.07
177,1257.13
178,1400.12
179,1661.78
180,1478.29
181,1442.93
182,1445.19
183,1457.83
184,1457.41
185,1643.02
186,1408.53
187,1441.74
188,1063.33
189,1511.88
190,1483.0
191,1448.12
192,1051.03
193,1251.45
194,1657.73
195,1375.85
196,1394.98
197,1468.95
198,1470.2
199,1497.88
200,1221.26
201,1393.65
202,1459.88
203,1185.56
204,1713.84
205,1341.49
206,1424.17
207,1460.29
208,1650.05
209,1644.57
210,1687.52
211,1608.35
212,1503.7
213,1380.11
214,1435.11
215,1454.77
216,1197.05
217,1171.85
218,1669.29
219,1181.54
220,1691.19
221,1655.87
222,1650.37
223,1226.41
224,1686.58
225,1446.3
226,1676.26
227,1655.66
228,1694.25
229,1668.67
230,1662.2
231,1669.08
232,1603.56
233,1461.46
234,1612.19
235,1252.04
236,1652.66
237,1653.54
238,904.21
239,1712.92
240,1601.14
241,1517.15
242,1645.97
243,1615.92
244,1641.78
245,1655.78
246,1250.07
247,1689.53
248,1428.02
249,1435.42
250,714.71
251,1432.34
252,1448.2
253,1659.66
254,1263.23
255,1618.26
256,1640.04
257,1064.25
258,1651.35
259,1670.77
260,1641.17
261,1438.84
262,1625.71
263,1615.52
264,1436.57
265,1652.29
266,1701.72
267,1679.88
268,1382.95
269,1454.0
270,1623.54
271,1004.6
272,1666.9
273,1478.09
274,1649.28
275,1429.77
276,1639.9
277,1428.91
278,1673.05
279,1609.46
280,1307.76
281,1633.84
282,1657.96
283,1616.11
284,1177.91
285,1211.12
286,1441.75
287,1640.18
288,1645.14
289,1436.27
290,1665.88
291,1604.12
292,1624.93
293,1077.04
294,1615.4
295,1715.54
296,1705.82
297,1624.33
298,1745.85
299,1596.28
300,1685.8
301,1697.42
302,1646.53
303,1657.6
304,1646.43
305,1066.33
306,1711.44
307,1745.48
308,1747.51
309,1751.09
310,1659.13
311,1646.55
312,1716.53
313,1665.44
314,1704.89
315,1756.0
316,1701.64
317,1654.47
318,1576.41
319,1612.4
320,1754.55
321,1753.62
322,1672.85
323,1562.74
324,1648.36
325,1657.22
326,1526.92
327,1638.47
328,1675.87
329,1637.26
330,1709.14
331,903.62
332,1713.44
333,1659.0
334,1656.37
335,1339.69
336,1651.48
337,1617.73
338,1630.58
339,1631.08
340,1521.67
341,1652.22
342,1711.65
343,1740.46
344,1642.76
345,1527.9
346,1535.48
347,1541.04
348,1645.61
349,1620.0
350,1646.83
351,1655.17
352,1165.01
353,1013.91
354,1031.67
355,1650.49
356,1520.16
357,1656.28
358,1746.83
359,1648.57
360,1505.48
361,1623.71
362,1608.56
363,1501.26
364,1666.83
365,1751.59
366,1642.18
367,1242.97
368,1658.45
369,996.02
370,1658.95
371,1643.15
372,1499.78
373,1662.28
374,1644.67
375,1503.67
376,1624.35
377,1657.07
378,1628.17
379,1607.53
380,1574.78
381,1581.75
382,1288.33
383,1629.03
384,980.13
385,986.59
386,991.4
387,1009.21
388,997.86
389,985.78
390,1000.88
391,1031.83
392,1025.81
393,1010.2
394,1032.03
395,1032.54
396,1032.08
397,1034.6
398,1046.44
399,1041.88
400,1043.56
401,1040.82
402,1044.77
403,1049.35
404,1054.61
405,1058.21
406,1039.41
407,1612.36
408,1647.96
409,1635.09
410,1655.84
411,1632.61
412,1600.76
413,1645.23
414,1646.52
415,1769.98
416,1774.75
417,1647.87
418,1608.07
419,1612.06
420,1669.16
421,1753.36
422,1734.47
423,1650.02
424,1634.7
425,1640.3
426,1677.13
427,1723.0
428,1633.9
429,1638.05
430,1663.55
431,1625.89
432,1307.51
433,1634.98
434,1643.47
435,1647.44
436,1609.93
437,1533.45
438,1673.43
439,1666.84
440,1597.31
441,1574.4
442,1675.73
443,1668.05
444,1630.56
445,1581.26
446,1632.28
447,1641.4
448,1670.1
449,1045.19
450,1668.91
451,1695.08
452,1666.52
453,1634.8
454,1653.75
455,1633.07
456,1646.55
457,1671.01
458,1633.7
459,1742.62
460,1661.26
461,1627.97
462,1649.83
463,1639.7
464,1620.63
465,1617.91
466,1657.73
467,1639.78
468,1632.23
469,1639.03
470,1670.87
471,1655.71
472,1645.3
473,1613.37
474,1635.23
475,1662.71
476,1741.91
477,1665.24
478,1643.52
479,1662.17
480,1630.92
481,1671.19
482,1656.75
483,1643.62
484,1582.7
485,1644.0
486,1659.38
487,702.63
488,1671.01
489,704.27
490,1668.34
491,1667.43
492,1672.04
493,1648.89
494,1655.13
495,1665.44
496,1637.84
497,1646.27
498,1580.3
499,1665.09
500,1653.94
501,1669.23
502,1624.36
503,1605.79
504,1635.71
505,1667.05
506,1613.79
507,1672.52
508,1629.34
509,1673.76
510,1671.41
511,1643.04
512,1669.75
513,1655.71
514,1646.97
515,1634.54
516,1503.76
517,1625.52
518,1639.51
519,1626.36
520,1595.45
521,1650.85
522,1628.97
523,1665.83
524,1612.26
525,1641.42
526,1643.58
527,1626.28
528,1642.6
529,1644.67
530,1032.88
531,1611.81
532,1634.2
533,1664.61
534,1629.79
535,1743.54
536,1502.9
537,1651.64
538,1660.2
539,1639.09
540,1609.37
541,1590.59
542,1626.95
543,1501.63
544,1747.65
545,1589.71
546,1606.54
547,1613.37
548,1631.36
549,1636.85
550,1631.49
551,1645.46
552,1641.55
553,1764.15
554,1623.63
555,1629.34
556,1627.93
557,1506.01
558,1637.1
559,1628.51
560,1614.6
561,1619.53
562,1625.65
563,1648.46
564,1609.99
565,1638.22
566,1743.42
567,1744.44
568,1744.51
569,1747.32
570,1751.81
571,1606.14
572,1607.59
573,1600.05
574,1600.71
575,1757.25
576,1744.64
577,1747.31
578,1750.34
579,1599.36
580,1047.0
581,1754.88
582,1755.37
583,1727.03
584,1647.24
585,1628.86
586,1026.75
587,1648.82
588,1642.63
589,1609.04
590,1510.97
591,1647.47
592,1675.28
593,1689.9
594,1662.54
595,1643.92
596,1757.82
597,1646.69
598,1640.78
599,1593.64
600,1606.49
601,1603.33
602,1683.58
603,1520.9
604,1767.94
605,1604.37
606,1617.03
