Fire_Year,Smoke_Estimate
2021,30.794859758840175
2022,31.989763852958276
2023,33.20742215719656
2024,34.44783467155503
2025,35.711001396026404
2026,36.99692233062524
2027,38.30559747535153
2028,39.63702683019801
2029,40.99121039516467
2030,42.368148170251516
2031,43.76784015546582
2032,45.19028635079303
2033,46.6354867562477
2034,48.103441371822555
2035,49.59415019751759
2036,51.10761323333281
2037,52.64383047927549
2038,54.20280193533108
2039,55.78452760151413
2040,57.38900747781736
2041,59.01624156422622
2042,60.66622986076982
2043,62.338972367440874
2044,64.03446908422484
2045,65.75272001113626
2046,67.49372514816787
2047,69.25748449531966
2048,71.04399805259163
2049,72.85326581998379
2050,74.6852877975034
