state_code,county_code,site_number,latitude,longitude,parameter_code,validity_indicator,parameter,sample_duration,arithmetic_mean,units_of_measure,date_local,aqi
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,15.0,Micrograms/cubic meter (25 C),1989-05-02,14
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,29.0,Micrograms/cubic meter (25 C),1989-05-04,27
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,9.0,Micrograms/cubic meter (25 C),1989-05-06,8
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,40.0,Micrograms/cubic meter (25 C),1989-05-08,37
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,53.0,Micrograms/cubic meter (25 C),1989-05-10,49
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,69.0,Micrograms/cubic meter (25 C),1989-05-12,58
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,39.0,Micrograms/cubic meter (25 C),1989-05-14,36
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,63.0,Micrograms/cubic meter (25 C),1989-05-16,55
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,75.0,Micrograms/cubic meter (25 C),1989-05-18,61
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,25.0,Micrograms/cubic meter (25 C),1989-05-20,23
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,69.0,Micrograms/cubic meter (25 C),1989-05-22,58
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,53.0,Micrograms/cubic meter (25 C),1989-05-24,49
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,46.0,Micrograms/cubic meter (25 C),1989-05-26,43
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,31.0,Micrograms/cubic meter (25 C),1989-05-28,29
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,42.0,Micrograms/cubic meter (25 C),1989-05-30,39
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,20.0,Micrograms/cubic meter (25 C),1989-06-01,19
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,17.0,Micrograms/cubic meter (25 C),1989-06-03,16
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,33.0,Micrograms/cubic meter (25 C),1989-06-06,31
