year,aqi
1970,2.111111111111111
1971,3.076923076923077
1972,4.666666666666667
1973,7.8742138364779874
1974,20.268115942028984
1975,5.365714285714286
1976,7.517006802721088
1977,7.6395348837209305
1978,34.08920606601249
1979,20.14662273476112
1980,32.80207841284837
1981,26.590130916414903
1982,22.761799874134677
1983,24.75862068965517
1984,22.374333333333333
1985,23.926261829652997
1986,21.207576953433307
1987,26.19831013916501
1988,33.09779951100244
1989,22.922485586162715
1990,18.846052631578946
1991,20.2377762893503
1992,20.31301068510371
1993,19.20064935064935
1994,21.3675604970569
1995,22.204713804713805
1996,20.866619618913198
1997,21.96062457569586
1998,26.33243727598566
1999,30.887240356083087
2000,25.776015857284442
2001,30.836967808930424
2002,44.520673813169985
2003,45.11149825783972
2004,36.33686067019401
2005,45.30064308681672
2006,38.451863354037265
2007,47.64204545454545
2008,37.52638522427441
2009,35.94949494949495
2010,40.563098346388166
2011,39.28556375131718
2012,42.66596417281349
2013,22.228241022519782
2014,21.229787234042554
2015,31.44107744107744
2016,27.01423877327492
2017,20.16793446459918
2018,23.414614121510674
2019,21.572289156626507
2020,22.410214168039538
2021,25.728218465539662
2022,24.363819771351714
2023,44.08636836628512
